state,county,County_name,Civilian_labor_force_2019,Unemployed_2019,Unemployment_rate_2019,State_Abbr,less_than_high_school,high_school_diploma,some_college,bach_degree,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2019,N_POP_CHG_2019,Births_2019,Deaths_2019,NATURAL_INC_2019,INTERNATIONAL_MIG_2019,DOMESTIC_MIG_2019,NET_MIG_2019,RESIDUAL_2019,GQ_ESTIMATES_2019,R_birth_2019,R_death_2019,R_NATURAL_INC_2019,R_INTERNATIONAL_MIG_2019,R_DOMESTIC_MIG_2019,R_NET_MIG_2019,cases,deaths
29,093,Iron County,3534,169,4.8,MO,1411,3104,2032,803,10630,10615,10125,-62,98,152,-54,2,-9,-7,-1,276,9.649468295,14.966522253,-5.317053958,0.196927924,-0.88617566,-0.689247735,115,0
29,095,Jackson County,363539,13531,3.7,MO,45492,133015,145567,144748,674158,674166,703011,2227,8996,6497,2499,602,-845,-243,-29,11068,12.816686197,9.256337286,3.560348911,0.857675088,-1.203879484,-0.346204396,10582,140
29,097,Jasper County,57304,1714,3,MO,10108,26762,23227,17854,117404,117391,121328,873,1543,1192,351,100,423,523,-1,2488,12.763511082,9.860081147,2.903429935,0.827188016,3.499005306,4.326193322,3400,45
29,099,Jefferson County,118177,3679,3.1,MO,17126,48743,56558,30916,218733,218722,225081,671,2464,2150,314,39,329,368,-11,1983,10.963512061,9.56637619,1.397135871,0.173529615,1.463878031,1.637407645,6328,89
29,101,Johnson County,23105,858,3.7,MO,2478,9392,10336,8808,52595,52565,54062,441,686,378,308,41,94,135,-2,3684,12.741101195,7.020606781,5.720494414,0.761494386,1.745865178,2.507359565,1574,10
29,103,Knox County,1772,52,2.9,MO,320,1233,701,422,4131,4131,3959,-6,52,51,1,0,-6,-6,-1,87,13.124684503,12.872286724,0.252397779,0,-1.514386673,-1.514386673,69,1
29,105,Laclede County,17386,1196,6.9,MO,3964,9453,7182,3546,35571,35596,35723,127,474,396,78,-2,53,51,-2,345,13.292390527,11.105035124,2.187355403,-0.056086036,1.486279953,1.430193918,1265,23
29,107,Lafayette County,16847,519,3.1,MO,2125,9738,6175,4527,33381,33369,32708,166,356,371,-15,-7,192,185,-4,724,10.911877395,11.37164751,-0.459770115,-0.214559387,5.885057471,5.670498084,912,26
29,109,Lawrence County,18018,633,3.5,MO,4277,9441,7879,3902,38634,38647,38355,91,502,461,41,-22,75,53,-3,559,13.103799319,12.033568697,1.070230622,-0.57427009,1.957738942,1.383468852,1193,24
29,111,Lewis County,5003,160,3.2,MO,850,2995,1771,912,10211,10209,9776,-63,125,103,22,-2,-81,-83,-2,788,12.745347948,10.502166709,2.243181239,-0.203925567,-8.25898547,-8.462911037,226,2
29,113,Lincoln County,28448,951,3.3,MO,4273,15381,11028,5802,52566,52536,59013,1400,790,467,323,2,1072,1074,3,631,13.547579442,8.008505822,5.539073620,0.034297670,18.383550838,18.417848507,1312,5
29,115,Linn County,5124,249,4.9,MO,922,3845,2302,1287,12761,12773,11920,-119,124,163,-39,5,-84,-79,-1,152,10.35101632,13.606577904,-3.255561584,0.417379690,-7.011978797,-6.594599107,173,7
29,117,Livingston County,7357,187,2.5,MO,1501,4140,2989,2067,15195,15196,15227,46,153,165,-12,3,55,58,0,1995,10.063141279,10.852407261,-0.789265983,0.197316496,3.617469087,3.814785583,584,9
29,119,McDonald County,10690,356,3.3,MO,3530,6106,3632,1779,23083,23083,22837,-126,364,220,144,24,-293,-269,-1,157,15.895196507,9.606986900,6.288209607,1.048034934,-12.79475983,-11.74672489,1337,15
29,121,Macon County,7535,255,3.4,MO,1302,4673,2898,1649,15566,15566,15117,-50,182,193,-11,6,-44,-38,-1,286,12.019548276,12.746004491,-0.726456215,0.396248844,-2.905824858,-2.509576014,252,1
29,123,Madison County,5484,189,3.4,MO,1528,2950,2789,1297,12226,12217,12088,-100,135,177,-42,-2,-55,-57,-1,165,11.122095897,14.58230351,-3.460207612,-0.164771791,-4.531224254,-4.695996045,545,3
29,125,Maries County,3884,137,3.5,MO,862,2554,2026,891,9176,9153,8697,-73,76,91,-15,4,-61,-57,-1,67,8.702124005,10.41964848,-1.717524475,0.458006527,-6.984599531,-6.526593004,222,0
29,127,Marion County,14565,461,3.2,MO,2225,7348,5664,4023,28781,28781,28530,-10,346,310,36,12,-56,-44,-2,1371,12.125459961,10.863851411,1.261608551,0.420536184,-1.96250219,-1.541966007,1008,14
29,129,Mercer County,1861,59,3.2,MO,251,1153,612,442,3785,3785,3617,-9,48,42,6,1,-15,-14,-1,51,13.254176446,11.59740439,1.656772056,0.276128676,-4.141930139,-3.865801463,37,0
29,131,Miller County,12313,463,3.8,MO,2310,7415,4609,2852,24748,24748,25619,304,301,276,25,-4,285,281,-2,271,11.819217026,10.837554482,0.981662544,-0.157066007,11.190952998,11.033886991,978,15
29,133,Mississippi County,5792,237,4.1,MO,2480,3848,2188,1204,14358,14376,13180,-214,141,190,-49,0,-164,-164,-1,1845,10.61187627,14.299691428,-3.687815158,0,-12.34289155,-12.34289155,464,6
29,135,Moniteau County,7313,216,3,MO,1679,4501,2434,2017,15607,15605,16132,-54,205,165,40,17,-110,-93,-1,1376,12.686428616,10.21102791,2.475400705,1.052045300,-6.80735194,-5.75530664,706,12
29,137,Monroe County,3872,161,4.2,MO,644,2957,1735,786,8840,8844,8644,8,87,92,-5,0,15,15,-2,128,10.069444444,10.648148148,-0.578703704,0,1.736111111,1.736111111,192,2
29,139,Montgomery County,5738,180,3.1,MO,1294,3656,2098,1121,12236,12224,11551,63,127,140,-13,2,72,74,2,394,11.024784062,12.153305265,-1.128521203,0.173618647,6.250271279,6.423889926,191,1
